index,fermion,symbol,observed_mass_MeV,fundamental_energy_MeV,energy_ratio,absolute_error_MeV,relative_error_percent
1,electron,e⁻,0.511,0.511,3.227,0.0,0.0
2,up,u,2.16,1.649,1.522,-0.5110000000000001,-23.657407407407412
3,down,d,4.67,2.51,35.191,-2.16,-46.252676659528916
4,strange,s,93.0,88.33,0.143,-4.670000000000002,-5.021505376344088
5,muon,μ⁻,105.66,12.66,91.97,-93.0,-88.01817149346962
6,charm,c,1270.0,1164.34,0.435,-105.66000000000008,-8.319685039370086
7,tau,τ⁻,1777.0,507.0,4.74,-1270.0,-71.4687675858188
8,bottom,b,4180.0,2403.0,70.125,-1777.0,-42.51196172248804
