Type,Solar_Mass,Solar_Luminosity,Surface_Temp_K,Lifetime_Years,Habitable_Zone_AU,t1_quantum,t2_relational,t3_cosmological,habitability_normalized,rank
M,0.300000,0.040000,3000,1000000000000.000000,0.200000,0.000000,1.000000,1.000000,1.000000,1
K,0.800000,0.400000,4000,50000000000.000000,0.600000,0.000000,0.116564,0.764429,0.667239,2
G,1.000000,1.000000,5500,10000000000.000000,1.000000,0.000001,0.056584,0.637870,0.615161,3
F,1.700000,6.000000,6500,3000000000.000000,2.500000,0.000004,0.020155,0.543195,0.578553,4
A,3.200000,80.000000,8500,300000000.000000,9.000000,0.000035,0.008925,0.362130,0.545567,5
B,18.000000,20000.000000,20000,10000000.000000,50.000000,0.014789,0.003960,0.094675,0.485296,6
O,60.000000,1000000.000000,45000,3000000.000000,100.000000,1.000000,0.002839,0.000000,0.390894,7
