l,C_l_GoE,C_l_LCDM,D_l_GoE,D_l_LCDM
24,1.7511307039170283e-06,3.4318443936748754e-08,0.00016722066451703118,3.277169995053389e-06
25,1.608158078603432e-06,3.414064949883552e-08,0.00016636509986388563,3.531874533269883e-06
26,1.481557265516266e-06,3.3960681234135216e-08,0.00016552960792099903,3.7943172230049134e-06
27,1.368929159768501e-06,3.377846289949539e-08,0.00016471111294496268,4.0642630614186705e-06
28,1.2682979649267794e-06,3.3593937690384334e-08,0.00016390698303036844,4.341472687972787e-06
29,1.1780247090877193e-06,3.340706567197056e-08,0.0001631149563160612,4.625702683224026e-06
30,1.0967406812912143e-06,3.321782163336244e-08,0.00016233308166724685,4.916705875875912e-06
31,1.0232957142972149e-06,3.302619328097194e-08,0.0001615596706057524,5.214231656877625e-06
32,9.567176482355816e-07,3.2832179705787483e-08,0.00016079325806010289,5.518026299446308e-06
33,8.961802968445921e-07,3.2635790073504984e-08,0.00016003257008999317,5.827833283960472e-06
34,8.40977938482616e-07,3.243704249722903e-08,0.00015927649716948085,6.143393626731894e-06
35,7.905048568300646e-07,3.223596306071164e-08,0.00015852407193334633,6.464446211714402e-06
36,7.442388208932003e-07,3.2032584966480104e-08,0.0001577744505318007,6.790728124252023e-06
37,7.017276611440767e-07,3.182694778818246e-08,0.00015702689692140447,7.121974986007767e-06
38,6.625782962842463e-07,3.161909681038986e-08,0.0001562807695598635,7.457921290249547e-06
39,6.264477126157831e-07,3.140908244218669e-08,0.00015553551008020425,7.7983007367016e-06
40,5.93035508992332e-07,3.119695969334233e-08,0.00015479063360364234,8.142846565199844e-06
41,5.620777045017622e-07,3.0982787703831455e-08,0.00015404572041605234,8.491291887417964e-06
42,5.333415703545075e-07,3.0766629319059455e-08,0.0001533004087846346,8.843370015958248e-06
43,5.066212969497506e-07,3.0548550704438583e-08,0.00015255438873236013,9.198814790127885e-06
44,4.817343454378259e-07,3.032862099400991e-08,0.00015180739662046589,9.557360897747473e-06
45,4.585183629936622e-07,3.0106911968665794e-08,0.0001510592104155098,9.918744192364614e-06
46,4.368285644661471e-07,2.988349776023391e-08,0.00015030964553864885,1.0282702005271141e-05
47,4.1653550156830165e-07,2.9658454578267993e-08,0.00014955855121196569,1.0648973451748648e-05
48,3.9752315544839773e-07,2.9431860456875285e-08,0.00014880580723065215,1.1017299730993294e-05
49,3.796873001845772e-07,2.9203795019312413e-08,0.00014805132110129983,1.1387424419196808e-05
50,3.6293409412428563e-07,2.8974339258420115e-08,0.00014729502549597114,1.1759093755287763e-05
51,3.4717886354235935e-07,2.8743575331248598e-08,0.00014653687597949132,1.2132056918863769e-05
52,3.323450492015641e-07,2.8511586366463426e-08,0.00014577684897386253,1.2506066299872586e-05
53,3.1836329136401784e-07,2.8278456283322413e-08,0.000145014939929063,1.2880877759627647e-05
54,3.051706328530622e-07,2.8044269621183225e-08,0.000144251161673989,1.3256250882771162e-05
55,2.927098230842331e-07,2.780911137864547e-08,0.0001434855429250624,1.3631949219825856e-05
56,2.809287087139309e-07,2.757306686155333e-08,0.00014271812693319907,1.400774052000479e-05
57,2.6977969880817683e-07,2.7336221539188367e-08,0.00014194897025250836,1.4383396953976496e-05
58,2.5921929430125203e-07,2.7098660908071337e-08,0.00014117814161636834,1.4758695326311448e-05
59,2.4920767306664494e-07,2.6860470362867463e-08,0.0001404057209084488,1.5133417277363942e-05
60,2.397083232179716e-07,2.662173507395431e-08,0.00013963179821790034,1.550734947437193e-05
61,2.3068771834153747e-07,2.638253987126701e-08,0.00013885647296933335,1.588028379158545e-05
62,2.2211502927226564e-07,2.6142969134083103e-08,0.00013807985311942232,1.62520174792626e-05
63,2.139618677910061e-07,2.5903106686449706e-08,0.00013730205441300048,1.6622353321399513e-05
64,2.0620205826839134e-07,2.5663035697991092e-08,0.00013652319969241204,1.6991099782088852e-05
65,1.988114338284379e-07,2.5422838589863984e-08,0.0001357434182546577,1.7358071140428203e-05
66,1.9176765407046845e-07,2.5182596945653878e-08,0.0001349628452515373,1.772308761392681e-05
67,1.8505004178415888e-07,2.494239142702728e-08,0.00013418162112857938,1.8085975470385454e-05
68,1.7863943643071176e-07,2.470230169397373e-08,0.0001333998910990487,1.8446567128250384e-05
69,1.7251806245254905e-07,2.446240632948665e-08,0.00013261780464976435,1.8804701245467095e-05
70,1.6666941072213577e-07,2.4222782768546393e-08,0.000131835515075847,1.916022279688506e-05
71,1.6107813165393676e-07,2.398350723127954e-08,0.00013105317904184955,1.9512983140288075e-05
72,1.557299386873776e-07,2.3744654660178396e-08,0.0001302709561670201,1.9862840071148415e-05
73,1.5061152100745623e-07,2.3506298661272896e-08,0.00012948900863270752,2.0209657866225782e-05
74,1.4571046450704482e-07,2.3268511449153187e-08,0.00012870750081014356,2.055330731615315e-05
75,1.4101518011406518e-07,2.303136379574754e-08,0.00012792659890704028,2.089366574717335e-05
76,1.3651483871023694e-07,2.2794924982764073e-08,0.00012714647063161538,2.123061703220949e-05
77,1.3219931195821483e-07,2.255926275770864e-08,0.00012636728487281339,2.1564051591471782e-05
78,1.2805911843253896e-07,2.2324443293394605e-08,0.00012558921139563185,2.189386638282157e-05
79,1.240853745184984e-07,2.2090531150861665e-08,0.0001248124205505778,2.2219964882130017e-05
80,1.2026974960314029e-07,2.1857589245623525e-08,0.00012403708299639263,2.2542257053885768e-05
81,1.166044251353759e-07,2.162567881716484e-08,0.0001232633694352746,2.2860659312320266e-05
82,1.130820571784499e-07,2.1394859401609044e-08,0.00012249145035991412,2.317509447333402e-05
83,1.0969574211878762e-07,2.1165188807479303e-08,0.0001217214958117306,2.348549169751998e-05
84,1.0643898523114569e-07,2.0936723094474794e-08,0.00012095367514976566,2.3791786424591816e-05
85,1.0330567183169095e-07,2.0709516555185266e-08,0.00012018815682974678,2.4093920299536594e-05
86,1.0029004077864938e-07,2.0483621699665707e-08,0.00011942510819288296,2.4391841090819887e-05
87,9.738666010498122e-08,2.0259089242793893e-08,0.00011866469526400452,2.468550260098144e-05
88,9.459040458953024e-08,2.003596809433235e-08,0.00011790708255869468,2.4974864569966094e-05
89,9.189643509262895e-08,1.981430535161636e-08,0.00011715243289909846,2.525989257154193e-05
90,8.930017949950545e-08,1.959414629478895e-08,0.00011640090723812319,2.5540557903162727e-05
91,8.679731513030134e-08,1.937553438450362e-08,0.00011565266449177371,2.5816837469636633e-05
92,8.438375248929348e-08,1.915851126201472e-08,0.00011490786137938731,2.608871366096616e-05
93,8.205562023822002e-08,1.894311675157533e-08,0.00011416665227155565,2.635617422472724e-05
94,7.980925128960937e-08,1.872938886506194e-08,0.00011342918904553666,2.661921213335666e-05
95,7.764116992585622e-08,1.851736380874469e-08,0.00011269562094797695,2.6877825446717272e-05
96,7.554807985860829e-08,1.8307075992122002e-08,0.00011196609446477571,2.713201717031064e-05
97,7.35268531509428e-08,1.8098558038738036e-08,0.00011124075319793603,2.7381795109505018e-05
98,7.157451993191693e-08,1.7891840798901075e-08,0.00011051973774925469,2.7627171720144328e-05
99,6.968825883946891e-08,1.7686953364221292e-08,0.00010980318561071257,2.78681639559013e-05
100,6.786538813339887e-08,1.7483923083886012e-08,0.00010909123106143293,2.810479311273343e-05
101,6.610335742534404e-08,1.7282775582591022e-08,0.00010838400507108106,2.833708467079654e-05
102,6.439973997733807e-08,1.708353478004646e-08,0.0001076816352095814,2.8565068134164806e-05
103,6.275222552477063e-08,1.688622291197639e-08,0.0001069842455630332,2.878877686870059e-05
104,6.115861358338006e-08,1.669086055253137e-08,0.00010629195665570741,2.9008247938410367e-05
105,5.961680720336869e-08,1.6497466638034157e-08,0.00010560488537800947,2.922352194061623e-05
106,5.812480713685956e-08,1.630605849197911e-08,0.00010492314492029327,2.943464284026424e-05
107,5.6680706387752356e-08,1.6116651851206708e-08,0.00010424684471241314,2.9641657803682774e-05
108,5.528268511561094e-08,1.5929260893175474e-08,0.00010357609036889912,2.9844617032095117e-05
109,5.392900586755661e-08,1.574389826425454e-08,0.00010291098363964302,3.0043573595181332e-05
110,5.261800911426674e-08,1.5560575108961167e-08,0.00010225162236597933,3.0238583264974748e-05
111,5.134810906811626e-08,1.5379301100068656e-08,0.00010159810044204635,3.042970435036841e-05
112,5.011778976326276e-08,1.520008446951145e-08,0.00010095050778131128,3.0616997532496695e-05
113,4.892560137908298e-08,1.502293204001528e-08,0.00010030893028814069,3.0800525701246115e-05
114,4.7770156789837346e-08,1.4847849257382126e-08,9.967344983429878e-05,3.098035379313953e-05
115,4.665012832477729e-08,1.4674840223360726e-08,9.904414424025232e-05,3.115654863082598e-05
116,4.5564244724135615e-08,1.4503907729035266e-08,9.842108726116128e-05,3.1329178764397746e-05
117,4.45112882775598e-08,1.4335053288666565e-08,9.780434857743187e-05,3.149831431474506e-05
118,4.349009213257365e-08,1.4168277173921517e-08,9.719399378970831e-05,3.166402681914718e-05
119,4.249953776159182e-08,1.4003578448428575e-08,9.659008441817789e-05,3.1826389079287495e-05
